"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Jordan Zimmermann","Tigers","7","8","4.52","25","25","0","0","0","0","0","131.1","556","140","76","66","28","26","0","2","1","0","111","4505"
"Thomas Pannone","Blue Jays","4","1","4.54","6","6","0","0","0","0","0","35.2","151","31","18","18","7","14","0","1","0","0","19","17281"
"Tyler Anderson","Rockies","7","9","4.55","32","32","0","0","0","0","0","176.0","737","165","94","89","30","59","1","3","9","2","164","12880"
"Chad Kuhl","Pirates","5","5","4.55","16","16","0","0","0","0","0","85.0","373","89","47","43","14","33","1","4","7","0","81","14975"
"Heath Fillmyer","Royals","4","2","4.56","13","13","0","0","0","0","0","71.0","300","71","38","36","9","27","0","2","1","1","50","17466"
"Brent Suter","Brewers","7","7","4.56","18","18","0","0","0","0","0","94.2","397","96","53","48","16","18","2","3","1","0","78","13942"
"Cody Reed","Reds","1","2","4.60","7","7","0","0","0","0","0","31.1","141","35","18","16","4","12","0","2","1","0","32","15232"
"Bryan Mitchell","Padres","2","4","4.61","11","11","0","0","0","0","0","56.2","254","60","29","29","8","34","1","1","1","0","31","11479"
"Francisco Liriano","Tigers","5","12","4.65","26","26","0","0","0","0","0","131.2","578","125","84","68","19","72","0","5","9","0","109","3201"
"Luke Weaver","Cardinals","6","11","4.66","25","25","0","0","0","0","0","129.1","568","137","71","67","16","49","2","3","3","0","116","16918"
"Ian Kennedy","Royals","3","9","4.66","22","22","0","0","0","0","0","119.2","518","125","66","62","20","40","2","1","4","0","105","6986"
"Matt Koch","Diamondbacks","5","5","4.68","14","14","0","0","0","0","0","77.0","325","82","43","40","19","22","1","6","3","0","39","13420"
"Fernando Romero","Twins","3","3","4.69","11","11","0","0","0","0","0","55.2","247","60","31","29","6","19","1","7","7","0","45","15885"
"Michael Fulmer","Tigers","3","12","4.69","24","24","0","0","0","0","0","132.1","558","128","75","69","19","46","1","5","1","0","110","13218"
"Chris Stratton","Giants","10","10","4.70","26","26","1","1","0","0","0","141.2","604","145","79","74","17","51","1","2","6","0","109","13761"
"Ryan Yarbrough","Rays","2","2","4.71","6","6","0","0","0","0","0","28.2","123","30","18","15","3","8","1","2","1","0","22","16502"
"Matt Harvey","- - -","7","9","4.71","28","28","0","0","0","0","0","149.0","634","158","80","78","25","32","2","6","2","1","128","11713"
"Corey Oswalt","Mets","2","3","4.72","12","12","0","0","0","0","0","55.1","237","56","30","29","12","17","1","3","3","0","39","13677"
"Yonny Chirinos","Rays","0","3","4.73","7","7","0","0","0","0","0","32.1","144","36","18","17","3","11","1","3","3","0","30","16401"
"Nick Tropeano","Angels","5","6","4.74","14","14","0","0","0","0","0","76.0","316","68","41","40","16","31","2","2","2","0","64","12385"
"Jimmy Yacabonis","Orioles","0","2","4.76","7","7","0","0","0","0","0","28.1","125","29","16","15","5","11","0","3","3","0","22","15157"
"Zack Godley","Diamondbacks","15","11","4.77","32","32","0","0","0","0","0","177.1","786","176","103","94","16","80","2","12","17","1","183","14862"
"Zach Davies","Brewers","2","7","4.77","13","13","0","0","0","0","0","66.0","280","67","36","35","8","21","3","4","1","0","49","13183"
"Jordan Lyles","Padres","2","4","4.79","8","8","0","0","0","0","0","47.0","201","53","26","25","10","11","0","0","3","0","40","7593"
"Wei-Yin Chen","Marlins","6","12","4.79","26","26","0","0","0","0","0","133.1","572","131","75","71","19","47","6","1","4","1","111","13071"
"Nick Pivetta","Phillies","6","14","4.80","32","32","0","0","0","0","0","163.0","690","163","91","87","24","50","0","5","8","0","187","15454"
"David Hess","Orioles","3","10","4.84","19","19","0","0","0","0","0","100.1","441","104","62","54","21","36","2","7","3","1","70","16130"
"Danny Duffy","Royals","8","12","4.88","28","28","0","0","0","0","0","155.0","692","161","86","84","23","70","1","4","14","0","141","3542"
"Vince Velasquez","Phillies","8","12","4.88","30","30","0","0","0","0","0","145.2","625","137","83","79","16","58","1","8","8","0","160","11189"
"Aaron Sanchez","Blue Jays","4","6","4.89","20","20","0","0","0","0","0","105.0","474","106","62","57","11","58","2","7","4","0","86","11490"
"Alex Cobb","Orioles","5","15","4.90","28","28","1","0","0","0","0","152.1","661","172","93","83","24","43","5","4","4","1","102","6562"
"Brandon McCarthy","Braves","6","3","4.92","15","15","0","0","0","0","0","78.2","339","94","45","43","15","21","0","0","2","0","65","4662"
"Anthony DeSclafani","Reds","7","8","4.93","21","21","0","0","0","0","0","115.0","484","118","68","63","24","30","2","2","4","0","108","13050"
"Matt Shoemaker","Angels","2","2","4.94","7","7","0","0","0","0","0","31.0","130","29","17","17","3","10","0","1","3","0","33","4776"
"Lance Lynn","- - -","9","10","4.94","29","29","0","0","0","0","0","149.1","671","156","86","82","14","75","3","6","5","0","152","2520"
"Yu Darvish","Cubs","1","3","4.95","8","8","0","0","0","0","0","40.0","180","36","24","22","7","21","0","4","2","1","49","13074"
"Tyler Mahle","Reds","7","9","4.98","23","23","0","0","0","0","0","112.0","507","125","68","62","22","53","7","3","1","0","110","16358"
"Michael Kopech","White Sox","1","1","5.02","4","4","0","0","0","0","0","14.1","68","20","8","8","4","2","0","5","1","0","15","17282"
"Elieser Hernandez","Marlins","0","5","5.04","6","6","0","0","0","0","0","25.0","104","26","14","14","7","7","0","1","0","1","19","16933"
"Joe Ross","Nationals","0","2","5.06","3","3","0","0","0","0","0","16.0","68","17","10","9","3","4","0","2","0","0","7","12972"
"Jon Gray","Rockies","12","9","5.12","31","31","0","0","0","0","0","172.1","743","180","102","98","27","52","1","6","6","2","183","14916"
"Sean Reid-Foley","Blue Jays","2","4","5.13","7","7","0","0","0","0","0","33.1","150","31","23","19","6","21","0","1","3","0","42","17034"
"Ty Blach","Giants","3","6","5.15","13","13","0","0","0","0","0","64.2","287","78","41","37","5","25","0","1","0","1","35","14361"
"Tyler Chatwood","Cubs","4","6","5.16","20","20","0","0","0","0","0","96.0","449","84","56","55","9","88","1","6","7","0","82","4338"
"Daniel Gossett","Athletics","0","3","5.18","5","5","0","0","0","0","0","24.1","102","25","14","14","5","8","0","1","1","0","12","16164"
"Andrew Triggs","Athletics","3","1","5.23","9","9","0","0","0","0","0","41.1","182","37","24","24","7","18","0","3","3","0","43","13533"
"Tommy Milone","Nationals","1","1","5.24","4","4","0","0","0","0","0","22.1","98","31","13","13","4","1","0","1","0","0","20","7608"
"Sonny Gray","Yankees","9","9","5.26","23","23","0","0","0","0","0","113.0","506","119","68","66","13","50","0","7","9","1","108","12768"
"Chad Bettis","Rockies","5","2","5.28","20","20","0","0","0","0","0","109.0","470","109","65","64","17","45","3","4","3","1","76","10587"
"Andrew Cashner","Orioles","4","15","5.29","28","28","0","0","0","0","0","153.0","681","177","97","90","25","65","3","3","6","0","99","8782"
"Adam Plutko","Indians","4","5","5.29","12","12","0","0","0","0","0","68.0","287","67","40","40","17","20","1","1","3","1","53","15846"
"Eric Skoglund","Royals","1","6","5.29","13","13","0","0","0","0","0","68.0","285","64","41","40","12","18","0","6","3","0","48","16155"
"Nick Kingham","Pirates","5","7","5.32","15","15","0","0","0","0","0","71.0","321","76","48","42","17","24","3","5","2","1","65","11694"
"Clayton Richard","Padres","7","11","5.33","27","27","0","0","0","0","0","158.2","682","159","98","94","19","60","1","10","7","1","108","3551"
"Artie Lewicki","Tigers","0","2","5.40","3","3","0","0","0","0","0","13.1","62","17","10","8","1","7","0","1","0","0","9","16731"
"Sam Gaviglio","Blue Jays","2","10","5.43","24","24","0","0","0","0","0","119.1","530","138","76","72","21","37","1","3","6","2","99","12778"
"Dylan Bundy","Orioles","8","16","5.45","31","31","1","0","0","0","0","171.2","750","188","116","104","41","54","1","6","6","1","184","12917"
"Sal Romano","Reds","7","10","5.48","25","25","0","0","0","0","0","131.1","583","141","83","80","22","49","5","3","5","0","94","13690"
"Dylan Covey","White Sox","4","12","5.50","21","21","0","0","0","0","0","109.2","493","119","78","67","12","48","3","2","5","0","84","14825"
"Daniel Norris","Tigers","0","4","5.50","8","8","0","0","0","0","0","36.0","161","36","22","22","8","15","0","2","1","1","40","13475"
"Steven Brault","Pirates","1","1","5.54","5","5","0","0","0","0","0","26.0","112","22","17","16","3","14","1","2","5","0","15","15291"
"Marcus Stroman","Blue Jays","4","9","5.54","19","19","0","0","0","0","0","102.1","449","115","68","63","9","36","0","2","3","1","77","13431"
"Erick Fedde","Nationals","2","4","5.54","11","11","0","0","0","0","0","50.1","217","55","31","31","8","22","1","0","0","1","46","17425"
"Jake Faria","Rays","3","4","5.57","12","12","0","0","0","0","0","53.1","229","48","33","33","9","25","1","3","2","0","41","13699"
"Marco Estrada","Blue Jays","7","14","5.64","28","28","0","0","0","0","0","143.2","627","155","91","90","29","50","0","2","3","0","103","1118"
"Felix Hernandez","Mariners","8","13","5.64","28","28","0","0","0","0","0","150.0","663","154","105","94","26","57","0","12","11","0","123","4772"
"Bartolo Colon","Rangers","7","12","5.68","24","24","1","0","0","0","0","139.1","599","162","91","88","30","25","1","3","2","0","75","375"
"Ariel Jurado","Rangers","3","4","5.71","8","8","0","0","0","0","0","41.0","176","47","26","26","6","12","1","0","0","0","16","17030"
"Yovani Gallardo","Rangers","8","8","5.77","18","18","0","0","0","0","0","92.0","403","99","60","59","13","43","2","2","6","0","56","8173"
"Jason Vargas","Mets","7","9","5.77","20","20","0","0","0","0","0","92.0","404","100","60","59","18","30","1","5","0","0","84","8044"
"Dillon Peters","Marlins","2","2","5.84","5","5","0","0","0","0","0","24.2","111","26","16","16","4","13","0","1","3","0","16","18790"
"Jeff Brigham","Marlins","0","4","6.06","4","4","0","0","0","0","0","16.1","77","16","11","11","2","13","0","2","0","0","12","16631"
"Matt Andriese","- - -","0","1","6.08","5","5","0","0","0","0","0","13.1","58","12","9","9","4","5","0","1","0","0","13","12022"
"Homer Bailey","Reds","1","14","6.09","20","20","1","0","0","0","0","106.1","494","141","82","72","23","33","9","2","2","1","75","8362"
"Hector Santiago","White Sox","2","2","6.12","7","7","0","0","0","0","0","32.1","151","36","23","22","8","23","1","1","0","0","24","4026"
"Lucas Giolito","White Sox","10","13","6.13","32","32","0","0","0","0","0","173.1","775","166","123","118","27","90","2","15","13","0","125","15474"
"Jason Hammel","Royals","2","11","6.16","18","18","0","0","0","0","0","102.1","470","134","76","70","14","31","2","3","0","0","66","4538"
"Domingo German","Yankees","2","5","6.19","14","14","0","0","0","0","0","68.1","302","66","49","47","13","26","0","5","7","1","79","17149"
"Robbie Erlin","Padres","3","6","6.23","12","12","0","0","0","0","0","56.1","249","74","44","39","8","8","0","0","1","1","44","10354"
"Jeff Samardzija","Giants","1","5","6.25","10","10","0","0","0","0","0","44.2","207","47","32","31","6","26","1","2","2","0","30","3254"
"Drew Pomeranz","Red Sox","1","5","6.31","11","11","0","0","0","0","0","51.1","240","61","37","36","10","32","0","2","4","1","44","11426"
"Brandon Woodruff","Brewers","1","0","6.32","4","4","0","0","0","0","0","15.2","72","15","12","11","2","9","0","1","1","0","13","16162"
"Jorge Lopez","Royals","2","4","6.35","7","7","0","0","0","0","0","34.0","149","41","24","24","5","9","0","1","2","0","23","14527"
"Spencer Turnbull","Tigers","0","2","6.46","3","3","0","0","0","0","0","15.1","66","17","11","11","1","4","0","0","1","1","14","16207"
"Luis Cessa","Yankees","1","4","6.50","5","5","0","0","0","0","0","18.0","83","24","14","13","3","7","0","0","2","0","13","13345"
"Erasmo Ramirez","Mariners","2","4","6.50","10","10","0","0","0","0","0","45.2","202","52","35","33","14","12","0","3","0","0","33","10314"
"Jaime Garcia","- - -","2","7","6.57","14","14","0","0","0","0","0","61.2","286","69","48","45","12","34","1","3","6","1","57","8137"
"Kohl Stewart","Twins","0","1","6.61","4","4","0","0","0","0","0","16.1","82","24","12","12","1","9","0","2","4","0","11","15502"
"Ranger Suarez","Phillies","1","1","6.75","3","3","0","0","0","0","0","12.0","57","18","13","9","3","5","0","0","0","1","10","17277"
"Brett Kennedy","Padres","1","2","6.75","6","6","0","0","0","0","0","26.2","128","36","20","20","6","12","1","2","1","0","18","17877"
"Enyel De Los Santos","Phillies","1","0","6.75","2","2","0","0","0","0","0","10.2","47","12","8","8","2","4","0","1","1","0","8","18403"
"Jefry Rodriguez","Nationals","2","2","6.75","8","8","0","0","0","0","0","38.2","178","36","31","29","7","28","3","3","1","0","31","17018"
"Martin Perez","Rangers","2","7","6.78","15","15","0","0","0","0","0","74.1","350","107","63","56","15","31","0","2","3","1","45","6902"
"Ben Lively","Phillies","0","2","6.85","5","5","0","0","0","0","0","23.2","115","34","18","18","4","10","1","3","0","0","22","14932"
"Yefry Ramirez","Orioles","1","8","6.92","12","12","0","0","0","0","0","53.1","248","56","42","41","11","32","1","4","3","0","53","15655"
"Jacob Nix","Padres","2","5","7.02","9","9","0","0","0","0","0","42.1","190","52","33","33","8","13","0","4","4","0","21","17775"
"Paul Blackburn","Athletics","2","3","7.16","6","6","0","0","0","0","0","27.2","119","33","23","22","2","6","0","2","1","0","19","14739"
"Josh Tomlin","Indians","0","3","7.17","9","9","0","0","0","0","0","42.2","197","60","35","34","18","6","0","4","2","0","27","9388"
"John Lamb","Angels","0","1","7.20","3","3","0","0","0","0","0","10.0","50","15","10","8","4","4","1","0","0","0","11","8493"
"Yohander Mendez","Rangers","1","2","7.29","5","5","0","0","0","0","0","21.0","95","23","18","17","4","12","0","0","0","0","13","14391"
"Luis Perdomo","Padres","1","6","7.38","10","10","0","0","0","0","0","42.2","209","61","37","35","4","21","2","3","4","0","37","14682"
"Brandon Finnegan","Reds","0","3","7.40","5","5","0","0","0","0","0","20.2","103","27","20","17","5","15","2","0","1","0","14","16208"
"Ryan Carpenter","Tigers","1","2","7.48","5","5","0","0","0","0","0","21.2","103","34","19","18","8","3","0","2","0","0","14","12699"
"Robert Stephenson","Reds","0","2","7.59","3","3","0","0","0","0","0","10.2","57","14","9","9","1","12","3","0","2","0","10","13594"
"Caleb Ferguson","Dodgers","0","1","7.59","3","3","0","0","0","0","0","10.2","48","9","10","9","2","6","0","2","0","0","12","19349"
"Kendall Graveman","Athletics","1","5","7.60","7","7","0","0","0","0","0","34.1","158","44","32","29","9","13","0","1","2","0","27","15514"
"Joe Biagini","Blue Jays","0","3","7.71","4","4","0","0","0","0","0","18.2","90","26","17","16","3","9","0","2","3","0","13","13194"
"Clay Holmes","Pirates","1","2","7.80","4","4","0","0","0","0","0","15.0","75","20","14","13","2","13","1","0","1","0","12","13649"
"Matt Moore","Rangers","1","5","8.02","12","12","0","0","0","0","0","55.0","279","87","54","49","8","26","0","4","4","0","41","1890"
"Ervin Santana","Twins","0","1","8.03","5","5","0","0","0","0","0","24.2","114","31","22","22","9","9","0","2","0","0","16","3200"
"Carson Fulmer","White Sox","2","4","8.13","8","8","0","0","0","0","0","31.0","157","34","31","28","7","24","0","5","2","1","26","18311"
"Josh Rogers","Orioles","1","2","8.49","3","3","0","0","0","0","0","11.2","56","17","11","11","2","5","0","0","0","0","6","18510"
"Odrisamer Despaigne","- - -","0","3","8.50","5","5","0","0","0","0","0","18.0","88","28","18","17","3","9","0","0","0","0","17","16017"
"Drew Hutchison","Rangers","1","1","8.86","5","5","0","0","0","0","0","21.1","105","29","21","21","5","13","0","1","1","0","12","10732"
"Burch Smith","Royals","1","4","9.67","6","6","0","0","0","0","0","22.1","104","29","24","24","6","9","0","1","0","0","20","12784"
"Walker Lockett","Padres","0","3","9.69","3","3","0","0","0","0","0","13.0","66","18","14","14","4","9","1","0","0","0","10","13804"
"Chris Tillman","Orioles","1","5","10.46","7","7","0","0","0","0","0","26.2","137","42","32","31","6","17","0","2","6","0","13","5279"
"Shelby Miller","Diamondbacks","0","4","11.40","4","4","0","0","0","0","0","15.0","76","24","21","19","5","7","0","0","1","0","19","10197"
"Stephen Gonsalves","Twins","0","2","11.68","4","4","0","0","0","0","0","12.1","72","24","19","16","2","13","0","1","1","0","6","15492"
"Miguel Gonzalez","White Sox","0","3","12.41","3","3","0","0","0","0","0","12.1","66","24","18","17","4","6","0","0","1","0","5","7024"
