"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"David Dahl","Rockies","77","249","271","68","38","11","3","16","31","48","19","4","68","1","2","0","4","5","3",".273","13744"
"Brian Anderson","Marlins","156","590","670","161","112","34","4","11","87","65","62","2","129","16","2","0","18","2","4",".273","18289"
"Robbie Grossman","Twins","129","396","465","108","75","27","1","5","50","48","60","0","83","2","5","2","2","0","1",".273","5254"
"Ben Gamel","Mariners","101","257","293","70","51","14","4","1","37","19","31","1","61","4","1","0","4","7","3",".272","12160"
"Jason Heyward","Cubs","127","440","489","119","84","23","4","8","67","57","42","1","60","2","2","2","7","1","1",".270","4940"
"Craig Gentry","Orioles","68","156","169","42","34","5","2","1","13","11","11","0","31","1","0","1","2","12","3",".269","9571"
"Jon Jay","- - -","143","527","586","141","112","19","7","3","74","40","33","0","95","18","3","5","11","4","3",".268","5227"
"Stephen Piscotty","Athletics","151","546","605","146","78","41","0","27","78","88","42","0","114","12","5","0","21","2","0",".267","13367"
"Yasiel Puig","Dodgers","125","405","444","108","63","21","1","23","60","63","36","2","87","1","2","0","15","15","5",".267","14225"
"Domingo Santana","Brewers","85","211","235","56","36","14","1","5","21","20","20","1","77","1","3","0","3","1","1",".265","10348"
"George Springer","Astros","140","544","620","144","96","26","0","22","102","71","64","0","122","5","3","0","12","6","4",".265","12856"
"Jorge Soler","Royals","61","223","257","59","32","18","0","9","27","28","28","0","69","4","2","0","6","3","1",".265","14221"
"Tyler Naquin","Indians","61","174","183","46","36","7","0","3","22","23","6","1","42","2","1","0","1","1","1",".264","13359"
"Harrison Bader","Cardinals","138","379","427","100","66","20","2","12","61","37","31","3","125","11","4","2","1","15","3",".264","18030"
"Brandon Nimmo","Mets","140","433","535","114","61","28","8","17","77","47","80","2","140","22","0","0","8","9","6",".263","12927"
"Brandon Barnes","Indians","19","19","21","5","4","0","0","1","2","2","2","0","5","0","0","0","1","0","0",".263","629"
"Danny Valencia","Orioles","79","255","282","67","49","8","1","9","28","28","22","2","53","0","5","0","8","1","1",".263","6364"
"Alex Verdugo","Dodgers","37","77","86","20","13","6","0","1","11","4","8","0","14","0","0","1","4","0","0",".260","17027"
"Travis Jankowski","Padres","117","347","387","90","71","12","3","4","45","17","37","0","73","1","0","2","7","24","7",".259","13768"
"Nomar Mazara","Rangers","128","489","536","126","80","25","1","20","61","77","40","2","116","4","3","0","13","1","0",".258","14553"
"Nick Williams","Phillies","140","407","448","104","72","12","3","17","53","50","32","2","111","9","0","0","4","3","2",".256","14330"
"Scott Schebler","Reds","107","380","430","97","61","19","0","17","55","49","39","1","99","9","2","0","5","4","2",".255","12225"
"Andrew McCutchen","- - -","155","569","682","145","92","30","3","20","83","65","95","1","145","11","7","0","12","14","9",".255","9847"
"Tyler O'Neill","Cardinals","61","130","142","33","19","5","0","9","29","23","7","0","57","3","2","0","0","2","0",".254","15711"
"Gregory Polanco","Pirates","130","461","535","117","56","32","6","23","75","81","61","5","117","3","7","0","11","12","2",".254","12907"
"Phillip Ervin","Reds","78","218","247","55","37","10","1","7","27","31","20","1","60","5","4","0","5","6","1",".252","14738"
"Billy McKinney","- - -","38","119","132","30","17","7","0","6","14","13","11","0","33","1","1","0","0","1","0",".252","15654"
"Trevor Plouffe","Phillies","7","12","12","3","2","0","0","1","1","3","0","0","6","0","0","0","0","0","0",".250","7462"
"D.J. Stewart","Orioles","17","40","47","10","4","3","0","3","8","10","4","0","12","2","1","0","0","2","1",".250","17766"
"Bryce Harper","Nationals","159","550","695","137","69","34","0","34","103","100","130","16","169","6","9","0","7","13","3",".249","11579"
"Hunter Renfroe","Padres","117","403","441","100","50","23","1","26","53","68","30","2","109","3","5","0","9","2","1",".248","15464"
"Randal Grichuk","Blue Jays","124","424","462","104","46","32","1","25","60","61","27","0","122","8","3","0","5","3","2",".245","10243"
"Joey Rickard","Orioles","79","213","230","52","33","10","1","8","27","23","15","0","55","2","0","0","3","4","2",".244","13277"
"Josh Reddick","Astros","134","433","487","105","73","13","2","17","63","47","49","3","77","0","2","1","9","7","2",".242","3892"
"Curtis Granderson","- - -","123","343","403","83","46","22","2","13","60","38","54","1","106","4","1","1","3","2","1",".242","4747"
"Lane Adams","Braves","26","25","29","6","3","1","0","2","10","6","4","0","8","0","0","0","1","1","0",".240","10767"
"Daniel Palka","White Sox","124","417","449","100","55","15","3","27","56","67","30","3","153","2","0","0","7","2","1",".240","14897"
"Teoscar Hernandez","Blue Jays","134","476","523","114","56","29","7","22","67","57","41","0","163","3","3","0","14","5","5",".239","13066"
"Avisail Garcia","White Sox","93","356","385","84","52","11","2","19","47","49","20","2","102","4","5","0","9","3","1",".236","5760"
"Rosell Herrera","- - -","86","278","302","65","47","14","3","1","25","20","19","0","57","2","2","1","6","3","5",".234","11611"
"Rafael Ortega","Marlins","41","133","143","31","27","3","1","0","10","7","10","0","23","0","0","0","5","5","2",".233","10323"
"Noel Cuevas","Rockies","75","146","153","34","27","4","1","2","16","10","6","1","24","1","0","0","1","1","0",".233","11894"
"John Andreoli","- - -","26","61","67","14","12","2","0","0","4","4","5","0","19","0","1","0","1","2","0",".230","13012"
"Jose Osuna","Pirates","51","106","111","24","12","9","0","3","14","11","3","0","22","1","1","0","2","0","0",".226","12937"
"Jorge Bonifacio","Royals","69","236","270","53","31","16","2","4","31","23","29","1","71","2","2","1","3","0","1",".225","12174"
"Max Kepler","Twins","156","532","611","119","65","30","4","20","80","58","71","2","96","5","3","0","8","4","5",".224","12144"
"Jay Bruce","Mets","94","319","361","71","43","18","1","9","31","37","41","4","75","0","1","0","3","2","3",".223","9892"
"Johnny Field","- - -","84","221","233","49","27","13","0","9","28","21","7","0","72","3","1","1","3","4","0",".222","15048"
"Steven Souza Jr.","Diamondbacks","72","241","272","53","30","15","3","5","21","29","28","0","75","3","0","0","4","6","1",".220","5667"
"Eric Thames","Brewers","96","247","278","54","25","10","3","16","41","37","29","4","97","2","0","0","3","7","0",".219","3711"
"Michael Hermosillo","Angels","31","57","62","12","7","4","0","1","7","1","3","0","17","2","0","0","0","0","1",".211","16285"
"Carlos Gomez","Rays","118","360","408","75","49","15","2","9","42","32","25","0","103","21","0","2","6","12","3",".208","4881"
"Kole Calhoun","Angels","137","491","552","102","63","18","2","19","71","57","53","2","133","1","6","0","9","6","2",".208","11200"
"Chris Owings","Diamondbacks","106","281","309","58","39","15","0","4","34","22","24","4","75","2","2","0","4","11","4",".206","10030"
"Brandon Guyer","Indians","104","194","221","40","22","11","0","7","25","27","15","0","48","11","0","1","5","1","1",".206","2636"
"Isaac Galloway","Marlins","43","64","74","13","7","3","0","3","7","7","9","0","21","0","0","1","0","1","1",".203","5238"
"Jose Bautista","- - -","122","325","399","66","35","18","0","13","52","48","67","2","111","6","1","0","2","4","3",".203","1887"
"Anthony Santander","Orioles","33","101","108","20","13","5","1","1","8","6","6","0","21","1","0","0","1","1","0",".198","14551"
"J.B. Shuck","Marlins","70","130","142","25","21","3","1","0","10","4","10","1","22","1","0","1","1","2","2",".192","6677"
"Magneuris Sierra","Marlins","54","147","156","28","25","3","0","0","10","7","6","1","39","0","0","3","0","3","2",".190","17023"
"Jarrod Dyson","Diamondbacks","67","206","237","39","31","4","2","2","29","12","27","2","34","0","1","3","3","16","3",".189","4866"
"Matt Szczur","Padres","57","75","84","14","10","3","0","1","11","6","8","0","24","0","0","1","2","3","0",".187","11255"
"Brett Phillips","- - -","51","134","147","25","16","4","3","2","15","11","11","0","61","1","1","0","2","1","1",".187","14735"
"Jordan Luplow","Pirates","37","92","103","17","10","1","3","3","16","7","10","0","18","1","0","0","7","2","2",".185","16424"
"Aaron Altherr","Phillies","105","243","285","44","24","11","1","8","28","38","36","0","91","4","2","0","13","3","2",".181","11270"
"Dexter Fowler","Cardinals","90","289","334","52","34","10","0","8","40","31","38","0","75","3","4","0","2","5","2",".180","4062"
"Keon Broxton","Brewers","51","78","89","14","6","2","2","4","15","11","11","0","28","0","0","0","0","5","1",".179","9253"
"Brandon Dixon","Reds","74","118","124","21","10","6","0","5","14","10","6","0","43","0","0","0","2","0","0",".178","15214"
"Braxton Lee","Marlins","8","17","18","3","3","0","0","0","0","2","1","0","8","0","0","0","0","0","0",".176","16839"
"Socrates Brito","Diamondbacks","24","40","44","7","6","0","0","1","3","3","3","0","9","0","1","0","0","0","1",".175","12944"
"Chris Young","Angels","56","113","128","19","10","2","1","6","17","13","11","0","37","2","1","1","1","2","0",".168","3882"
"Dylan Cozens","Phillies","26","38","44","6","3","2","0","1","2","2","6","0","24","0","0","0","0","1","0",".158","15115"
"Taylor Motter","- - -","17","34","38","5","4","0","0","1","2","2","4","0","8","0","0","0","0","1","0",".147","12399"
"Shane Robinson","Yankees","25","49","54","7","5","1","0","1","8","2","4","0","6","0","0","1","2","1","0",".143","4249"
"Colby Rasmus","Orioles","18","45","49","6","4","1","0","1","5","1","3","0","19","1","0","0","0","0","0",".133","9893"
"Adolis Garcia","Cardinals","21","17","17","2","1","1","0","0","3","1","0","0","7","0","0","0","0","0","0",".118","19287"
"Trayce Thompson","- - -","51","128","137","15","9","3","0","3","15","9","7","1","50","0","1","1","0","3","1",".117","9952"
"Ryan Cordell","White Sox","19","37","40","4","2","1","0","1","3","4","0","0","15","1","2","0","0","0","0",".108","15181"
"Anthony Alford","Blue Jays","13","19","21","2","2","0","0","0","3","1","2","0","9","0","0","0","0","1","0",".105","14329"
"Jabari Blash","Angels","24","39","45","4","3","1","0","0","4","1","5","0","24","0","1","0","0","2","1",".103","11247"
